County,Density
Adams County,9.8
Asotin County,34.3
Benton County,103.4
Chelan County,24.6
Clallam County,27
Clark County,667.9
Columbia County,4.6
Cowlitz County,87.5
Douglas County,21.2
Ferry County,3.4
Franklin County,66.8
Garfield County,3.1
Grant County,32.8
Grays Harbor County,32.2
Island County,152.6
Jefferson County,13.7
King County,870.9
Kitsap County,448.1
Kittitas County,17.9
Klickitat County,10.9
Lewis County,30.9
Lincoln County,4.4
Mason County,57.8
Okanogan County,7.8
Pacific County,16.9
Pend Oreille County,9.1
Pierce County,449.9
San Juan County,25.5
Skagit County,61.6
Skamania County,6.6
Snohomish County,334.8
Spokane County,267.8
Stevens County,17.1
Thurston County,335.3
Wahkiakum County,14
Walla Walla County,45.8
Whatcom County,81.8
Whitman County,21.1
Yakima County,57.2
